product_id,product_name,category_id,vendor_id,price,stock_quantity
1,Smartphone,1,2,699.99,113
2,Laptop,1,4,1299.99,13
3,Bluetooth Speaker,1,5,49.99,66
4,Smartwatch,1,2,199.99,134
5,Wireless Earbuds,1,3,79.99,60
6,Microwave Oven,2,1,159.99,57
7,Refrigerator,2,1,899.99,162
8,Washing Machine,2,3,499.99,42
9,Air Conditioner,2,3,249.99,142
10,Electric Kettle,2,5,29.99,171
11,Sofa,3,5,599.99,67
12,Dining Table,3,1,349.99,78
13,Office Chair,3,5,129.99,85
14,Bed Frame,3,3,399.99,58
15,Bookshelf,3,4,89.99,189
16,T-Shirt,4,4,19.99,168
17,Jeans,4,6,49.99,106
18,Jacket,4,6,89.99,124
19,Dress,4,4,59.99,157
20,Sweatshirt,4,3,39.99,99
21,Fiction Novel,5,3,14.99,186
22,Cookbook,5,6,24.99,120
23,Science Textbook,5,3,79.99,62
24,History Biography,5,3,29.99,22
25,Travel Guide,5,4,19.99,111
26,Action Figure,6,2,14.99,94
27,Lego Set,6,3,49.99,194
28,Puzzle,6,4,9.99,171
29,Dollhouse,6,1,89.99,140
30,Remote Control Car,6,5,39.99,52
31,Tennis Racket,7,3,59.99,163
32,Soccer Ball,7,5,19.99,74
33,Yoga Mat,7,3,24.99,190
34,Dumbbells,7,5,39.99,20
35,Treadmill,7,1,899.99,108
36,Organic Apples,8,5,4.99,105
37,Whole Wheat Bread,8,1,3.49,193
38,Almond Milk,8,5,2.99,50
39,Brown Rice,8,2,1.99,95
40,Olive Oil,8,3,8.99,117
41,Moisturizer,9,4,12.99,90
42,Lipstick,9,3,14.99,121
43,Shampoo,9,1,6.99,13
44,Foundation,9,2,24.99,179
45,Perfume,9,2,49.99,27
46,Car Battery,10,3,99.99,76
47,Brake Pads,10,3,29.99,59
48,Spark Plugs,10,2,9.99,159
49,Oil Filter,10,6,7.99,169
50,Windshield Wipers,10,3,14.99,173
